iter	RMSE
0	3.954671261
1	3.871961771
2	3.786920963
3	3.714628102
4	3.643682675
5	3.576081822
6	3.518194589
7	3.458639916
8	3.403084274
9	3.353235513
10	3.309230689
11	3.264971018
12	3.225119267
13	3.188692321
14	3.158620586
15	3.126234582
16	3.095213976
17	3.067940556
18	3.041215844
19	3.019041601
20	2.995556218
21	2.975695006
22	2.955947481
23	2.93627827
24	2.91808406
25	2.90294679
26	2.888003597
27	2.874606039
28	2.861471526
29	2.85104681
30	2.840154913
31	2.830692623
32	2.821134999
33	2.812404993
34	2.805136061
35	2.79596364
36	2.788606336
37	2.781896022
38	2.775607785
39	2.76844715
40	2.762448521
41	2.756413606
42	2.750619844
43	2.745320596
44	2.739914531
45	2.7356294
46	2.730436993
47	2.726756744
48	2.722379046
49	2.717471367
50	2.713126463
51	2.709796848
52	2.705663273
53	2.702347827
54	2.698780353
55	2.694689529
56	2.691448358
57	2.687420044
58	2.684265926
59	2.680377229
60	2.677706312
61	2.675006678
62	2.672629781
63	2.669801955
64	2.666639951
65	2.664386957
66	2.662704961
67	2.660091856
68	2.656807394
69	2.654137977
70	2.652030667
71	2.650702142
72	2.647549101
73	2.645682788
74	2.64264984
75	2.639701284
76	2.636694777
77	2.634206343
78	2.632871899
79	2.631531651
80	2.628444826
81	2.627134059
82	2.625597564
83	2.623122537
84	2.621591807
85	2.619780318
86	2.617875304
87	2.615913261
88	2.61343286
89	2.611817363
90	2.61087881
91	2.608822518
92	2.607871321
93	2.606640709
94	2.604880409
95	2.602213397
96	2.600464129
97	2.598043621
98	2.597385825
99	2.59637929
100	2.595523953
101	2.594477307
102	2.593778192
103	2.592459914
104	2.591019634
105	2.58893507
106	2.587968679
107	2.58613097
108	2.584779622
109	2.583476379
110	2.581878886
111	2.580673071
112	2.579370821
113	2.577225964
114	2.575240406
115	2.573827133
116	2.571824812
117	2.569832116
118	2.567985457
119	2.565738463
120	2.563745995
121	2.561340104
122	2.559943901
123	2.558306261
124	2.55760899
125	2.554806862
126	2.553320892
127	2.552162544
128	2.550899738
129	2.549791068
130	2.547805907
131	2.546625744
132	2.54589294
133	2.543788697
134	2.543290152
135	2.54227023
136	2.541066002
137	2.539237792
138	2.537030542
139	2.535617106
140	2.534719013
141	2.533688995
142	2.532156418
143	2.530657297
144	2.528324527
145	2.526085248
146	2.524587529
147	2.523263811
148	2.522711108
149	2.521098205
150	2.519900163
151	2.518512513
152	2.516706799
153	2.514831338
154	2.513300001
155	2.512341494
156	2.511132462
157	2.509683883
158	2.508154118
159	2.507536401
160	2.506726137
161	2.506171305
162	2.505180734
163	2.503638022
164	2.502463697
165	2.501758857
166	2.500248452
167	2.498803294
168	2.497569484
169	2.495802987
170	2.494445155
171	2.492725685
172	2.491062081
173	2.489368538
174	2.487366182
175	2.486451356
176	2.485414513
177	2.483929021
178	2.482772864
179	2.481762757
180	2.480036757
181	2.479193756
182	2.478228069
183	2.477223048
184	2.47587368
185	2.474843559
186	2.473587295
187	2.472630864
188	2.471421958
189	2.47033682
190	2.469840169
191	2.467211774
192	2.466285738
193	2.464952774
194	2.463890982
195	2.462329793
196	2.460982012
197	2.459193706
198	2.457438227
199	2.455066551
200	2.454000537
201	2.452099416
202	2.450376381
203	2.449536712
204	2.449080797
205	2.448169926
206	2.447198806
207	2.446042564
208	2.445471534
209	2.444255923
210	2.443840297
211	2.441219673
212	2.440406292
213	2.439949399
214	2.439123259
215	2.438638223
216	2.437360179
217	2.435492668
218	2.435098313
219	2.432538774
220	2.431604004
221	2.430951266
222	2.430256461
223	2.428692275
224	2.428121659
225	2.426982344
226	2.426144242
227	2.425567248
228	2.424047159
229	2.422275266
230	2.421335607
231	2.419494973
232	2.419168096
233	2.417403353
234	2.415743068
235	2.41537242
236	2.41411681
237	2.412868051
238	2.411829366
239	2.411366143
240	2.410326387
241	2.408655333
242	2.408017326
243	2.407489247
244	2.405786091
245	2.404463422
246	2.403712977
247	2.403132255
248	2.402250621
249	2.40098118
250	2.400419935
251	2.400150039
252	2.398815871
253	2.398287712
254	2.396633567
255	2.395004404
256	2.39406752
257	2.392591998
258	2.392305809
259	2.390925465
260	2.388862184
261	2.387404853
262	2.386179325
263	2.384902227
264	2.383450824
265	2.382766014
266	2.382130371
267	2.381262262
268	2.379593001
269	2.37955194
270	2.378569095
271	2.377890951
272	2.376783459
273	2.374818843
274	2.37438447
275	2.374351385
276	2.373602699
277	2.373311981
278	2.371741852
279	2.371169653
280	2.37099809
281	2.370027811
282	2.368632449
283	2.367376303
284	2.366152027
285	2.36612018
286	2.36489038
287	2.364046411
288	2.362555611
289	2.361112728
290	2.359472989
291	2.358294711
292	2.357323186
293	2.356113201
294	2.354615304
295	2.35306549
296	2.352314905
297	2.352284307
298	2.35141009
299	2.350576826
300	2.349802074
301	2.349661038
302	2.346837823
303	2.344401016
304	2.343539284
305	2.341890268
306	2.34064591
307	2.339138431
308	2.338579126
309	2.336923093
310	2.336545452
311	2.335282367
312	2.334074637
313	2.333407653
314	2.332071256
315	2.331249862
316	2.330401934
317	2.330222311
318	2.328280851
319	2.326923124
320	2.325612434
321	2.325381264
322	2.323942453
323	2.322392491
324	2.32119769
325	2.319676832
326	2.317745098
327	2.316485045
328	2.314499372
329	2.314065243
330	2.313568963
331	2.312664757
332	2.310811366
333	2.309588579
334	2.309004924
335	2.308429583
336	2.307529841
337	2.306693585
338	2.305217645
339	2.304686728
340	2.303244925
341	2.30212145
342	2.30154354
343	2.30081662
344	2.30050935
345	2.300488028
346	2.299567665
347	2.298974945
348	2.297946549
349	2.297561125
350	2.295844919
351	2.294701591
352	2.293521712
353	2.292434043
354	2.290867635
355	2.290677824
356	2.289940423
357	2.289287385
358	2.288482317
359	2.28752763
360	2.286802873
361	2.286190807
362	2.285310922
363	2.283276154
364	2.281833141
365	2.28052212
366	2.279560557
367	2.279009574
368	2.277490787
369	2.276071984
370	2.27494825
371	2.274459125
372	2.273726596
373	2.273657051
374	2.273229572
375	2.272364945
376	2.271261159
377	2.269796054
378	2.268577814
379	2.267515428
380	2.265804381
381	2.264660715
382	2.26377381
383	2.263016218
384	2.262464922
385	2.261327976
386	2.261230971
387	2.260591575
388	2.258815825
389	2.257484628
390	2.25677023
391	2.256478882
392	2.255625111
393	2.254757533
394	2.253195466
395	2.252133097
396	2.251185243
397	2.250999974
398	2.250097691
399	2.250026261
400	2.249070247
401	2.248943449
402	2.247336372
403	2.245607136
404	2.244727662
405	2.243030303
406	2.241749005
407	2.240185346
408	2.239366575
409	2.238075289
410	2.237344788
411	2.236250928
412	2.234496097
413	2.233717486
414	2.233503286
415	2.23316453
416	2.232188602
417	2.230401305
418	2.229134873
419	2.228293789
420	2.227214617
421	2.225821777
422	2.225072531
423	2.22385053
424	2.223568139
425	2.222335569
426	2.221127742
427	2.221029226
428	2.219327396
429	2.218083649
430	2.217639108
431	2.216628039
432	2.215728503
433	2.215705754
434	2.214286867
435	2.213781095
436	2.213467266
437	2.212183805
438	2.21089477
439	2.209559573
440	2.209539694
441	2.20796161
442	2.207790534
443	2.206778533
444	2.205819451
445	2.204188737
446	2.20349724
447	2.202342792
448	2.201870406
449	2.200383156
450	2.199477764
451	2.198925152
452	2.196932291
453	2.195221081
454	2.193840291
455	2.19236815
456	2.191546461
457	2.189787775
458	2.189012642
459	2.188522638
460	2.187720603
461	2.186014797
462	2.184993723
463	2.183787902
464	2.182457967
465	2.18101027
466	2.179819894
467	2.178784949
468	2.178151198
469	2.177197258
470	2.176306275
471	2.175074053
472	2.175050015
473	2.174417692
474	2.173285377
475	2.171828377
476	2.171157413
477	2.169805564
478	2.169023333
479	2.16856714
480	2.166937077
481	2.166770474
482	2.165704079
483	2.164191484
484	2.163391563
485	2.162808907
486	2.161850454
487	2.16067285
488	2.159147447
489	2.158474681
490	2.158297926
491	2.157548339
492	2.157186983
493	2.156068572
494	2.155572394
495	2.15531783
496	2.154042857
497	2.153227679
498	2.151719255
