iter	Passed	Remaining
0	2	2294
1	4	2182
2	6	2038
3	7	1976
4	10	1998
5	12	2004
6	13	1939
7	15	1904
8	17	1931
9	19	1964
10	24	2182
11	27	2231
12	29	2216
13	31	2198
14	32	2164
15	34	2142
16	36	2108
17	38	2085
18	39	2049
19	41	2015
20	43	2006
21	44	1981
22	45	1948
23	47	1924
24	49	1911
25	50	1898
26	52	1874
27	53	1873
28	55	1868
29	57	1873
30	60	1876
31	61	1864
32	63	1857
33	65	1856
34	66	1842
35	68	1834
36	70	1824
37	71	1815
38	73	1813
39	75	1811
40	76	1800
41	78	1791
42	80	1784
43	81	1777
44	83	1768
45	84	1761
46	86	1759
47	88	1754
48	90	1750
49	92	1751
50	93	1743
51	95	1741
52	97	1736
53	98	1727
54	100	1720
55	102	1724
56	104	1720
57	105	1715
58	106	1706
59	108	1704
60	110	1698
61	112	1694
62	113	1688
63	115	1688
64	117	1693
65	119	1692
66	121	1691
67	123	1692
68	125	1693
69	127	1692
70	129	1692
71	130	1687
72	132	1683
73	135	1699
74	138	1711
75	140	1710
76	142	1713
77	144	1711
78	146	1708
79	148	1707
80	150	1707
81	152	1703
82	153	1698
83	155	1694
84	157	1693
85	159	1690
86	161	1692
87	163	1690
88	164	1687
89	166	1686
90	168	1682
91	170	1678
92	171	1674
93	173	1671
94	175	1672
95	176	1666
96	178	1662
97	180	1660
98	182	1660
99	184	1658
100	185	1654
101	187	1651
102	189	1647
103	190	1645
104	192	1643
105	194	1639
106	195	1635
107	197	1631
108	199	1628
109	200	1624
110	202	1619
111	203	1614
112	205	1610
113	206	1607
114	208	1604
115	210	1602
116	212	1602
117	214	1601
118	215	1599
119	217	1595
120	219	1593
121	221	1591
122	223	1590
123	224	1587
124	226	1586
125	228	1582
126	229	1578
127	230	1573
128	232	1571
129	234	1567
130	235	1562
131	237	1559
132	238	1555
133	240	1552
134	241	1550
135	243	1547
136	245	1543
137	247	1543
138	248	1542
139	250	1538
140	252	1537
141	253	1534
142	255	1531
143	257	1528
144	258	1524
145	260	1521
146	261	1518
147	263	1515
148	264	1513
149	266	1510
150	268	1506
151	269	1502
152	270	1499
